Name,Reign_Beginning,Reign_End,Defeated,Defenses,Reach,Height,Stance,Nationality,Weight,Recognition
Lou Salica,24-Sep-40,7-Aug-42,Georgie Pace,4,,,,American,Bant,WBA
Manuel Ortiz,7-Aug-42,6-Jan-47,Lou Salica ,15,168,165,Orthodox,American,Bant,WBA
Harold Dade,6-Jan-47,11-Mar-47,Manuel Ortiz,0,168,165,Orthodox,American,Bant,WBA
Manuel Ortiz,11-Mar-47,31-May-50,Harold Dade,4,168,165,Orthodox,American,Bant,WBA
Vic Toweel,31-May-50,15-Nov-52,Manuel Ortiz ,3,168,165,Orthodox,South African,Bant,WBA
Jimmy Carruthers,15-Nov-52, 16 May 1954,Vic Toweel,3,170,168,Southpaw,Australian,Bant,WBA
Robert Cohen,19-Sep-54, 23 December 1954,Chamroen Songkitrat,1,,159,Orthodox, French,Bant,WBA
Raul Macias,9-Mar-55,6-Nov-57,Chamroen Songkitrat,2,163,161,Orthodox,Mexican,Bant,WBA
Alphonse Halimi,6-Nov-57,8-Jul-59,Raúl Macías,0,168,160,Orthodox, French,Bant,WBA
Jose Becerra,8-Jul-59, 30 August 1960,Alphonse Halimi,2,,165,,Mexican,Bant,WBA
Eder Jofre,18-Nov-60,18-May-65,Eloy Sanchez,8,168,163,Orthodox,Brazilian,Bant,WBA
Fighting Harada,18-May-65,27-Feb-68,Éder Jofre,4,163,160,Orthodox,Japanese,Bant,WBA
Lionel Rose,27-Feb-68,22-Aug-69,Fighting Harada,3,,166,Orthodox,Australian,Bant,WBA
Ruben Olivares,22-Aug-69,16-Oct-70,Lionel Rose,2,170,166,Orthodox,Mexican,Bant,WBA
Chucho Castillo,16-Oct-70,2-Apr-71,Rubén Olivares,0,178,163,Orthodox, Mexican,Bant,WBA
Ruben Olivares,2-Apr-71,19-Mar-72,Chucho Castillo,2,170,166,Orthodox,Mexican,Bant,WBA
Rafael Herrera,19-Mar-72,29-Jul-72,Rubén Olivares ,0,165,163,Orthodox,Mexican,Bant,WBA
Enrique Pinder,29-Jul-72,20-Jan-73,Rafael Herrera,0,,166,Orthodox,Panamanian,Bant,WBA
Romeo Anaya,20-Jan-73,3-Nov-73,Enrique Pinder,2,,164,,Mexican,Bant,WBA
Arnold Taylor,3-Nov-73,3-Jul-74,Romeo Anaya,0,175,170,Orthodox,South African,Bant,WBA
Hong Soo-hwan,3-Jul-74,14-Mar-75,Arnold Taylor,1,,170,Orthodox,South Korean,Bant,WBA
Alfonso Zamora,14-Mar-75,19-Nov-77,Hong Soo-hwan,5,180,163,Orthodox,Mexican,Bant,WBA
Jorge Lujan,19-Nov-77,29-Aug-80,Alfonso Zamora,5,,165,Orthodox,Panamanian,Bant,WBA
Julian Solis,29-Aug-80,14-Nov-80,Jorge Luján,0,,165,Orthodox,Puerto Rican,Bant,WBA
Jeff Chandler,14-Nov-80,7-Apr-84,Julian Solís,9,182,170,Orthodox,American,Bant,WBA
Richie Sandoval,7-Apr-84,10-Mar-86,Jeff Chandler,2,169,166,Orthodox,American,Bant,WBA
Gaby Canizales,10-Mar-86,4-Jun-86,Richie Sandoval,0,165,163,Orthodox,American,Bant,WBA
Bernardo Pinango,4-Jun-86, 13 March 1987,Gaby Canizales,3,168,169,Orthodox,Venezuelan,Bant,WBA
Takuya Muguruma,29-Mar-87,24-May-87,Azael Moran,0,,166,Orthodox,Japanese,Bant,WBA
Park Chan-Yong,24-May-87,4-Oct-87,Takuya Muguruma,0,,168,Orthodox,Korean,Bant,WBA
Wilfredo Vazquez,4-Oct-87,9-May-88,Park Chan-Yong,1,160,165,Orthodox,Puerto Rican,Bant,WBA
Kaokor Galaxy,9-May-88,14-Aug-88,Wilfredo Vázquez,0,,163,Southpaw,Thai,Bant,WBA
Moon Sung-kil,14-Aug-88,9-Jul-89,Kaokor Galaxy,2,168,165,Orthodox,South Korean,Bant,WBA
Kaokor Galaxy,9-Jul-89,18-Oct-89,Moon Sung-kil,0,,163,Southpaw,Thai,Bant,WBA
Luisito Espinosa,18-Oct-89,19-Oct-91,Kaokor Galaxy ,2,175,170,Orthodox,Filipino,Bant,WBA
Israel Contreras,19-Oct-91,15-Mar-92,Luisito Espinosa,0,,,Orthodox,Venezuelan,Bant,WBA
Eddie Cook,15-Mar-92,9-Oct-92,Israel Contreras,0,,160,Southpaw,American,Bant,WBA
Jorge Eliecer Julio,9-Oct-92,23-Oct-93,Eddie Cook,2,173,165,Orthodox,Colombian,Bant,WBA
Junior Jones,23-Oct-93,22-Apr-94,Jorge Eliécer Julio,1,180,173,Orthodox,American,Bant,WBA
John Michael Johnson,22-Apr-94,16-Jul-94,Junior Jones,0,,,,American,Bant,WBA
Daorung Chuvatana,16-Jul-94,17-Sep-95,John Michael Johnson,2,,,,Thai,Bant,WBA
Veeraphol Sahaprom,17-Sep-95,28-Jan-96,Daorung Chuvatana,0,165,160,Orthodox,Thai,Bant,WBA
Nana Konadu,28-Jan-96,27-Oct-96,Veeraphol Sahaprom,0,173,169,Orthodox,Ghanaian,Bant,WBA
Daorung Chuvatana,27-Oct-96,21-Jun-97,Nana Konadu,1,,,,Thai,Bant,WBA
Nana Konadu,21-Jun-97,5-Dec-98,Daorung Chuvatana ,1,173,169,Orthodox,Ghanaian,Bant,WBA
Johnny Tapia,5-Dec-98,26-Jun-99,Nana Konadu ,0,159,168,Orthodox,American,Bant,WBA
Paulie Ayala,26-Jun-99, 6 August 2001,Johnny Tapia,3,173,166,Southpaw,American,Bant,WBA
Eidy Moya,14-Oct-01,19-Apr-02,Adán Vargas,0,,165,Orthodox,Venezuelan,Bant,WBA
Johnny Bredahl,19-Apr-02, 13 October 2004,Eidy Moya,3,,173,Orthodox,Danish,Bant,WBA
Volodymyr Sydorenko,26-Feb-05,31-May-08,Julio Zarate,6,,162,Orthodox,Ukrainian,Bant,WBA
Anselmo Moreno,31-May-08,26-Sep-14,Volodymyr Sydorenko,12,177,168,Southpaw,Panamanian,Bant,WBA
Juan Carlos Payano  ,26-Sep-14,18-Jun-16,Anselmo Moreno,1,164,165,Southpaw,Dominican,Bant,WBA
Rau'shee Warren,18-Jun-16,10-Feb-17,Juan Carlos Payano  ,0,164,169,Southpaw,American,Bant,WBA
Zhanat Zhakiyanov,10-Feb-17,21-Oct-17,Rau'shee Warren,0,170,170,Orthodox,Kazakh,Bant,WBA
Ryan Burnett  ,21-Oct-17,3-Nov-18,Zhanat Zhakiyanov,1,168,163,Orthodox,Northern Irish,Bant,WBA
Nonito Donaire,3-Nov-18,7-Nov-19,Ryan Burnett  ,1,174,170,Orthodox,FilipinoAmerican,Bant,WBA
Naoya Inoue,7-Nov-19, 13 January 2023,Nonito Donaire,5,171,165,Orthodox,Japanese,Bant,WBA
Koki Kameda,26-Dec-10, 6 December 2013,Alexander Muñoz,8,168,166,Southpaw,Japanese,Bant,WBA_Reg
Jamie McDonnell,31-May-14,25-May-18,Tabtimdaeng Na Rachawat,5,182,177,Orthodox,British,Bant,WBA_Reg
Naoya Inoue,25-May-18, 7 November 2019,Jamie McDonnell,1,171,165,Orthodox,Japanese,Bant,WBA_Reg
Guillermo Rigondeaux,8-Feb-20, 14 August 2021,Liborio Solís,0,171,163,Southpaw,Cuban,Bant,WBA_Reg
Gustavo Ballas,12-Sep-81,5-Dec-81,Bae Sok-Chul,0,,157,Orthodox, Argentine,SuperFly,WBA
Rafael Pedroza,5-Dec-81,8-Apr-82,Gustavo Ballas,0,,161,Orthodox,Panamanian,SuperFly,WBA
Jiro Watanabe,8-Apr-82, 5 July 1984,Rafael Pedroza,6,,166,Southpaw,Japanese,SuperFly,WBA
Khaosai Galaxy,21-Nov-84, 22 December 1991,Eusebio Espinal,19,,165,Southpaw,Thai,SuperFly,WBA
Katsuya Onizuka,10-Apr-92,18-Sep-94,Thanomsak Sithbaobay,5,,,Orthodox, Japanese,SuperFly,WBA
Lee Hyung-chul,18-Sep-94,22-Jul-95,Katsuya Onizuka,1,,166,Orthodox,South Korean,SuperFly,WBA
Alimi Goitia,22-Jul-95,24-Aug-96,Lee Hyung-chul,3,173,168,Southpaw,Venezuelan,SuperFly,WBA
Yokthai Sithoar,24-Aug-96,23-Dec-97,Alimi Goitia,4,,170,,Thai,SuperFly,WBA
Satoshi Iida,23-Dec-97,23-Dec-98,Yokthai Sithoar,2,166,165,Southpaw, Japanese,SuperFly,WBA
Jesus Rojas,23-Dec-98,31-Jul-99,Satoshi Iida,1,,168,Orthodox,Venezuelan,SuperFly,WBA
Hideki Todaka,31-Jul-99,9-Oct-00,Jesús Rojas,2,,,Orthodox, Japanese,SuperFly,WBA
Leo Gamez,9-Oct-00,11-Mar-01,Hideki Todaka,0,161,152,Orthodox,Venezuelan,SuperFly,WBA
Celes Kobayashi,11-Mar-01,9-Mar-02,Leo Gámez,1,,,Southpaw, Japanese,SuperFly,WBA
Alexander Munoz,9-Mar-02,3-Dec-04,Celes Kobayashi,3,174,166,Orthodox,Venezuelan,SuperFly,WBA
Martin Castillo,3-Dec-04,22-Jul-06,Alexander Muñoz,3,160,168,Orthodox,Mexican,SuperFly,WBA
Nobuo Nashiro,22-Jul-06,3-May-07,Martín Castillo,1,,162,Orthodox,Japanese,SuperFly,WBA
Alexander Munoz,3-May-07,17-May-08,Nobuo Nashiro,2,,,,Venezuelan,SuperFly,WBA
Cristian Mijares  ,17-May-08,1-Nov-08,Alexander Muñoz,1,173,168,Southpaw,Mexican,SuperFly,WBA
Vic Darchinyan  ,1-Nov-08, 15 October 2010,Cristian Mijares,3,164,166,Southpaw,Armenian,SuperFly,WBA
Hugo Cazares  Regular champion,15-Oct-10,31-Aug-11,,2,,,Southpaw,Mexican,SuperFly,WBA
Tomonobu Shimizu,31-Aug-11, 11 November 2011,Hugo Cázares  Regular champion,0,,168,Orthodox,Japanese,SuperFly,WBA
Tepparith Kokietgym  Regular champion,14-Nov-11,31-Dec-12,Promoted,3,,160,,Thai,SuperFly,WBA
Kohei Kono,31-Dec-12,6-May-13,Tepparith Kokietgym  Regular champion,0,170,166,Orthodox,Japanese,SuperFly,WBA
Liborio Solis,6-May-13, 2 December 2013,Kohei Kono,0,177,163,Orthodox,Venezuelan,SuperFly,WBA
Kohei Kono,26-Mar-14,31-Aug-16,Denkaosan Kaovichit,3,170,166,Orthodox,Japanese,SuperFly,WBA
Luis Concepcion,31-Aug-16, 9 December 2016,Kohei Kono ,0,160,157,Orthodox,Panamanian,SuperFly,WBA
Kal Yafai  Regular champion,10-Dec-16,29-Feb-20,Luis Concepción,5,,163,Orthodox,British,SuperFly,WBA
Roman Gonzalez  ,29-Feb-20,13-Mar-21,Khalid Yafai,1,163,160,Orthodox,Nicaraguan,SuperFly,WBA
Juan Francisco Estrada,13-Mar-21, 11 August 2022,Román González  ,0,168,163,Orthodox,Mexican,SuperFly,WBA
Joshua Franco,11-Aug-22, present,Juan Francisco Estrada,1,170,165,Orthodox,American,SuperFly,WBA
Nobuo Nashiro,15-Sep-08,8-May-10,Kohei Kono,2,,162,Orthodox,Japanese,SuperFly,WBA_Reg
Hugo Cazares,8-May-10, 15 October 2010,Nobuo Nashiro,2,,,Southpaw,Mexican,SuperFly,WBA_Reg
Andrew Moloney,3-Mar-20,23-Jun-20,Promoted,0,165,165,Orthodox,Australian,SuperFly,WBA_Reg
Joshua Franco,23-Jun-20, 11 August 2022,Andrew Moloney,2,170,165,Orthodox,American,SuperFly,WBA_Reg
Jimmy Wilde,21-Jan,18-Jun-23,Previous,0,168,157,Orthodox,Welsh,Fly,WBA
Pancho Villa,18-Jun-23, 14 July 1925,Jimmy Wilde,3,,154,Orthodox,Filipino,Fly,WBA
Fidel LaBarba,22-Aug-25, 29 August 1927,Frankie Genaro,2,168,160,Orthodox,American,Fly,WBA
Pinky Silverberg,22-Oct-27, 6 December 1927,Ruby Bradley,0,,,Orthodox, American,Fly,WBA
Frenchy Belanger,19-Dec-27,6-Feb-28,Ernie Jarvis,0,,,,Canadian,Fly,WBA
Frankie Genaro,6-Feb-28,2-Mar-29,Frenchy Belanger,3,,157,Orthodox,American,Fly,WBA
Emile Pladner,2-Mar-29,18-Apr-29,Frankie Genaro,0,163,157,Orthodox,French,Fly,WBA
Frankie Genaro,18-Apr-29,26-Oct-31,Émile Pladner,7,,157,Orthodox,American,Fly,WBA
Victor Perez,26-Oct-31,31-Oct-32,Frankie Genaro ,0,,155,,Tunisian,Fly,WBA
Jackie Brown,31-Oct-32, 17 September 1934,Victor Perez,3,,,Orthodox,British,Fly,WBA
Benny Lynch,9-Sep-35, 29 June 1938,Jackie Brown,3,165,163,Orthodox,Scottish,Fly,WBA
Peter Kane,22-Sep-38, 11 December 1939,Jackie Jurich,0,,,,English,Fly,WBA
Little Dado,11-Dec-39, 14 October 1943,Peter Kane,1,,,Orthodox,Filipino,Fly,WBA
Jackie Paterson,14-Oct-43, 30 July 1947,Little Dado,1,,,Southpaw,British,Fly,WBA
Rinty Monaghan,20-Oct-47, 30 March 1950,Dado Marino,3,163,160,Orthodox,Irish,Fly,WBA
Terry Allen,25-Apr-50,1-Aug-50,Honore Pratesi,0,,,Orthodox,British,Fly,WBA
Dado Marino,1-Aug-50,19-May-52,Terry Allen,1,,,Orthodox,American (after 1959)Hawaiian (before 1959),Fly,WBA
Yoshio Shirai,19-May-52,26-Nov-54,Dado Marino,4,,,Orthodox,Japanese,Fly,WBA
Pascual Perez,26-Nov-54,16-Apr-60,Yoshio Shirai,9,,150,Orthodox,Argentine,Fly,WBA
Pone Kingpetch,16-Apr-60,10-Oct-62,Pascual Perez,3,,169,Orthodox, Thai,Fly,WBA
Fighting Harada,10-Oct-62,12-Jan-63,Pone Kingpetch,0,163,160,Orthodox,Japanese,Fly,WBA
Pone Kingpetch,12-Jan-63,18-Sep-63,Fighting Harada,0,,169,Orthodox, Thai,Fly,WBA
Hiroyuki Ebihara,18-Sep-63,23-Jan-64,Pone Kingpetch ,0,,163,Southpaw,Japanese,Fly,WBA
Pone Kingpetch,23-Jan-64,23-Apr-65,Hiroyuki Ebihara,0,,169,Orthodox, Thai,Fly,WBA
Salvatore Burruni,23-Apr-65, 1 November 1965,Pone Kingpetch ,0,,155,,Italian,Fly,WBA
Horacio Accavallo,1-Mar-66, 2 October 1968,Katsuyoshi Takayama,3,,156,Southpaw,Argentine,Fly,WBA
Hiroyuki Ebihara,30-Mar-69,19-Oct-69,José Severino,0,,163,Southpaw,Japanese,Fly,WBA
Bernabe Villacampo,19-Oct-69,5-Apr-70,Hiroyuki Ebihara ,0,,,Southpaw,Filipino,Fly,WBA
Berkrerk Chartvanchai,5-Apr-70,22-Oct-70,Bernabe Villacampo,0,,168,Orthodox,Thai,Fly,WBA
Masao Ohba,22-Oct-70, 25 January 1973,Berkrerk Chartvanchai,5,,168,Orthodox,Japanese,Fly,WBA
Chartchai Chionoi,17-May-73,18-Oct-74,Fritz Chervet,2,166,165,Orthodox,Thailand,Fly,WBA
Susumu Hanagata,18-Oct-74,1-Apr-75,Chartchai Chionoi,0,160,161,Orthodox,Japanese,Fly,WBA
Erbito Salavarria,1-Apr-75,27-Feb-76,Susumu Hanagata,1,,,Orthodox,Filipino,Fly,WBA
Alfonso Lopez,27-Feb-76,2-Oct-76,Erbito Salavarria,1,,160,,Panamanian,Fly,WBA
Guty Espadas,2-Oct-76,12-Aug-78,Alfonso López,4,,,Orthodox, Mexican,Fly,WBA
Betulio Gonzalez,12-Aug-78,17-Nov-79,Guty Espadas,3,,159,Orthodox,Venezuelan,Fly,WBA
Luis Ibarra,17-Nov-79,17-Feb-80,Betulio González,0,,,Southpaw,Panamanian,Fly,WBA
Kim Tae-shik,17-Feb-80,13-Dec-80,Luis Ibarra,1,,161,Orthodox, South Korean,Fly,WBA
Peter Mathebula,13-Dec-80,28-Mar-81,Kim Tae-shik,0,,,Orthodox,South African,Fly,WBA
Santos Laciar,28-Mar-81,6-Jun-81,Peter Mathebula,0,159,155,Orthodox,Argentine,Fly,WBA
Luis Ibarra,6-Jun-81,26-Sep-81,Santos Laciar,0,,,Southpaw,Panamanian,Fly,WBA
Juan Herrera,26-Sep-81,1-May-82,Luis Ibarra ,1,183,180,Orthodox,Mexican,Fly,WBA
Santos Laciar,1-May-82, 19 July 1985,Juan Herrera,9,159,155,Orthodox,Argentine,Fly,WBA
Hilario Zapata,5-Oct-85,13-Feb-87,Alonzo González,5,,169,Southpaw,Panamanian,Fly,WBA
Fidel Bassa,13-Feb-87,30-Sep-89,Hilario Zapata,6,,161,Orthodox, Colombian,Fly,WBA
Jesus Rojas,30-Sep-89,10-Mar-90,Fidel Bassa,0,,168,Orthodox,Venezuelan,Fly,WBA
Lee Yul-woo,10-Mar-90,29-Jul-90,Jesús Rojas,0,,165,Orthodox,South Korean,Fly,WBA
Leopard Tamakuma,29-Jul-90,14-Mar-91,Lee Yul-woo,1,,173,Southpaw,Japanese,Fly,WBA
Elvis Alvarez,14-Mar-91,1-Jun-91,Leopard Tamakuma,0,,,Southpaw,Colombian,Fly,WBA
Kim Yong-kang,1-Jun-91,26-Sep-92,Elvis Álvarez,2,,170,Orthodox,South Korean,Fly,WBA
Aquiles Guzman,26-Sep-92,15-Dec-92,Kim Yong-kang,0,,,, Venezuelan,Fly,WBA
David Griman,15-Dec-92,13-Feb-94,Aquiles Guzmán,2,,,Orthodox, Venezuelan,Fly,WBA
Saen Sor Ploenchit,13-Feb-94,24-Nov-96,David Grimán,9,,168,Orthodox,Thai,Fly,WBA
Jose Bonilla,24-Nov-96,29-May-98,Saen Sor Ploenchit,3,,,,Venezuelan,Fly,WBA
Hugo Rafael Soto,29-May-98,13-Mar-99,José Bonilla,0,163,161,Orthodox, Argentine,Fly,WBA
Leo Gamez,13-Mar-99,3-Sep-99,Hugo Rafael Soto,0,161,152,Orthodox,Venezuelan,Fly,WBA
Sornpichai Kratingdaenggym,3-Sep-99,5-Aug-00,Leo Gámez,1,,160,,Thai,Fly,WBA
Eric Morel,5-Aug-00,6-Dec-03,Sornpichai Kratingdaenggym,5,180,169,Orthodox, Puerto Rican,Fly,WBA
Lorenzo Parra,6-Dec-03,19-Mar-07,Eric Morel,5,168,164,Orthodox, Venezuelan,Fly,WBA
Takefumi Sakata,19-Mar-07,31-Dec-08,Lorenzo Parra,4,,162,Orthodox,Japanese,Fly,WBA
Denkaosan Kaovichit,31-Dec-08,7-Feb-10,Takefumi Sakata,2,168,161,Orthodox, Thailand,Fly,WBA
Daiki Kameda,7-Feb-10, 4 January 2011,Denkaosan Kaovichit,2,164,168,Orthodox, Japanese,Fly,WBA
Luis Concepcion,4-Jan-11,2-Apr-11,Promoted,0,160,157,Orthodox,Panamanian,Fly,WBA
Hernan Marquez,2-Apr-11,17-Nov-12,Luis Concepción,2,152,160,Southpaw,Mexican,Fly,WBA
Brian Viloria  ,17-Nov-12,6-Apr-13,Hernán Márquez,0,168,163,Orthodox,American,Fly,WBA
Juan Francisco Estrada,6-Apr-13, 14 September 2016,Brian Viloria  ,5,168,163,Orthodox,Mexican,Fly,WBA
Kazuto Ioka  Regular champion,14-Sep-16, 9 November 2017,Juan Francisco Estrada,2,169,165,Orthodox,Japanese,Fly,WBA
Artem Dalakian  Regular champion,24-Feb-18, present,Brian Viloria,6,164,164,Orthodox,Ukrainian,Fly,WBA
Juan Carlos Reveco,17-Nov-12,22-Apr-15,Promoted,6,161,157,Orthodox, Argentine,Fly,WBA_Reg
Kazuto Ioka,22-Apr-15, 14 September 2016,Juan Carlos Reveco,3,169,165,Orthodox,Japanese,Fly,WBA_Reg
Jaime Rios,23-Aug-75,2-Jul-76,Rigoberto Marcano,1,,,Orthodox,Panamanian,LFly,WBA
Juan Antonio Guzman,2-Jul-76,10-Oct-76,Jaime Rios,0,,165,Orthodox,Dominican,LFly,WBA
Yoko Gushiken,10-Oct-76,8-Mar-81,Juan Antonio Guzman,13,,,Southpaw,Japanese,LFly,WBA
Pedro Flores,8-Mar-81,19-Jul-81,Yoko Gushiken,0,178,157,Orthodox,Mexican,LFly,WBA
Kim Hwan-jin,19-Jul-81,16-Dec-81,Pedro Flores,1,,155,Orthodox,South Korean,LFly,WBA
Katsuo Tokashiki,16-Dec-81,10-Jul-83,Kim Hwan-jin,5,,,Orthodox, Japanese,LFly,WBA
Lupe Madera,10-Jul-83,19-May-84,Katsuo Tokashiki,1,,,,Mexican,LFly,WBA
Francisco Quiroz,19-May-84,29-Mar-85,Lupe Madera,1,,,,Dominican,LFly,WBA
Joey Olivo,29-Mar-85,8-Dec-85,Francisco Quiróz,1,,175,Orthodox,American,LFly,WBA
Yuh Myung-woo,8-Dec-85,17-Dec-91,Joey Olivo,17,165,163,Orthodox,South Korean,LFly,WBA
Hiroki Ioka,17-Dec-91,18-Nov-92,Yuh Myung-woo,2,,169,Orthodox,Japanese,LFly,WBA
Yuh Myung-Woo,18-Nov-92, 8 September 1993,Hiroki Ioka,1,,,,South Korean,LFly,WBA
Leo Gamez,21-Oct-93,4-Feb-95,Shiro Yahiro,3,161,152,Orthodox,Venezuelan,LFly,WBA
Choi Hi-yong,4-Feb-95,13-Jan-96,Leo Gámez,1,,164,Orthodox,South Korean,LFly,WBA
Carlos Murillo,13-Jan-96,21-May-96,Choi Hi-yong,1,160,155,Orthodox,Panamanian,LFly,WBA
Keiji Yamaguchi,21-May-96,3-Dec-96,Carlos Murillo,1,,167,Southpaw, Japanese,LFly,WBA
Pichitnoi Sitbangprachan,3-Dec-96, July 2000,Keiji Yamaguchi,5,,163,Southpaw,Thai,LFly,WBA
Beibis Mendoza,12-Aug-00,3-Mar-01,Rosendo Alvarez,0,,163,Orthodox,Colombian,LFly,WBA
Rosendo Alvarez,3-Mar-01, 2 October 2004,Beibis Mendoza,3,165,165,Orthodox,Nicaraguan,LFly,WBA
Roberto Vasquez,29-Apr-05, 24 May 2006,Beibis Mendoza,3,165,173,Southpaw,American,LFly,WBA
Koki Kameda,2-Aug-06, 18 January 2007,Juan José Landaeta,1,168,166,Southpaw,Japanese,LFly,WBA
Juan Carlos Reveco,22-Jun-07,8-Dec-07,Nethra Sasiprapa,1,161,157,Orthodox, Argentine,LFly,WBA
Brahim Asloum,8-Dec-07, 18 July 2008,Juan Carlos Reveco,1,,165,Orthodox,French,LFly,WBA
Giovani Segura,5-Jun-09,28-Aug-10,Promoted,3,168,160,Southpaw,Mexican,LFly,WBA
Giovani Segura,28-Aug-10, 26 November 2010,Iván Calderón,2,160,152,Southpaw,Mexican,LFly,WBA
Juan Carlos Reveco,26-Nov-10, 4 February 2011,Giovani Segura,0,161,157,Orthodox, Argentine,LFly,WBA
Roman Gonzalez  Regular champion,4-Feb-11, 14 January 2014,Promoted,5,163,160,Orthodox,Nicaraguan,LFly,WBA
Kazuto Ioka  Regular champion,14-Jan-14, 28 February 2014,,0,169,165,Orthodox,Japanese,LFly,WBA
Alberto Rossel  Regular champion,10-Jul-14,31-Dec-14,Promoted,0,,155,,Peruvian,LFly,WBA
Ryoichi Taguchi,31-Dec-14,20-May-18,Alberto Rossel  Regular champion,7,170,168,Orthodox,Japanese,LFly,WBA
Hekkie Budler  ,20-May-18,31-Dec-18,Ryoichi Taguchi,0,165,160,Orthodox,South African,LFly,WBA
Hiroto Kyoguchi,31-Dec-18,1-Nov-22,Hekkie Budler  ,4,163,163,Orthodox,Japanese,LFly,WBA
Kenshiro Teraji,1-Nov-22, present,Hiroto Kyoguchi,0,163,164,Orthodox,Japanese,LFly,WBA
Juan Carlos Reveco,28-Aug-10, 26 November 2010,Promoted,0,161,157,Orthodox, Argentine,LFly,WBA_Reg
Kazuto Ioka,31-Dec-12, 14 January 2014,José Alfredo Rodríguez,3,169,165,Orthodox,Japanese,LFly,WBA_Reg
Carlos Canizales,18-Mar-18,28-May-21,Reiya Konishi,2,164,160,Orthodox,Venezuelan,LFly,WBA_Reg
Esteban Bermudez,28-May-21, 10 June 2022,Carlos Cañizales,0,,170,Orthodox,Mexican,LFly,WBA_Reg
Leo Gamez,10-Jan-88, 1 April 1989,Kim Bong-Jun,1,161,152,Orthodox,Venezuelan,MinFly,WBA
Kim Bong-jun,16-Apr-89,2-Feb-91,Agustín García,5,,164,Orthodox,South Korean,MinFly,WBA
Choi Hi-yong,2-Feb-91,14-Oct-92,Kim Bong-jun,4,,164,Orthodox,South Korean,MinFly,WBA
Hideyuki Ohashi,14-Oct-92,10-Feb-93,Choi Hi-yong,0,,,Orthodox, Japanese,MinFly,WBA
Chana Porpaoin,10-Feb-93,2-Dec-95,Hideyuki Ohashi,8,,160,Orthodox,Thai,MinFly,WBA
Rosendo Alvarez,2-Dec-95, 12 November 1998,Chana Porpaoin,5,165,165,Orthodox,Nicaraguan,MinFly,WBA
Ricardo Lopez,13-Nov-98, July 1999,Rosendo Álvarez,0,163,165,Orthodox,Mexican,MinFly,WBA
Noel Arambulet,9-Oct-99, 19 August 2000,Joma Gamboa,1,,161,Orthodox,Venezuelan,MinFly,WBA
Joma Gamboa,20-Aug-00,6-Dec-00,Noel Arambulet,0,,169,Orthodox, Filipino,MinFly,WBA
Keitaro Hoshino,6-Dec-00,16-Apr-01,Joma Gamboa,0,,159,Orthodox,Japanese,MinFly,WBA
Chana Porpaoin,16-Apr-01,25-Aug-01,Keitaro Hoshino,0,,160,Orthodox,Thai,MinFly,WBA
Yutaka Niida,25-Aug-01, 22 October 2001,Chana Porpaoin ,0,,156,Orthodox,Japanese,MinFly,WBA
Keitaro Hoshino,29-Jan-02,29-Jul-02,Joma Gamboa,0,,159,Orthodox,Japanese,MinFly,WBA
Noel Arambulet,29-Jul-02, 2 July 2004,Keitaro Hoshino ,2,,161,Orthodox,Venezuelan,MinFly,WBA
Yutaka Niida,3-Jul-04,15-Sep-08,Noel Arambulet,7,,156,Orthodox,Japanese,MinFly,WBA
Roman Gonzalez,15-Sep-08, 8 October 2010,Yutaka Niida ,3,163,160,Orthodox,Nicaraguan,MinFly,WBA
Kwanthai Sithmorseng,5-Nov-10,19-Apr-11,Pigmy Kokietgym,0,,160,Orthodox,Thailand,MinFly,WBA
Muhammad Rachman,19-Apr-11,30-Jul-11,Kwanthai Sithmorseng,0,150,160,Orthodox,Indonesian,MinFly,WBA
Pornsawan Porpramook,30-Jul-11,24-Oct-11,Muhammad Rachman,0,160,157,Orthodox,Thai,MinFly,WBA
Akira Yaegashi,24-Oct-11,24-Jun-12,Pornsawan Porpramook,0,165,160,Orthodox,Japanese,MinFly,WBA
Kazuto Ioka,24-Jun-12, 2 October 2012,Akira Yaegashi,0,169,165,Orthodox,Japanese,MinFly,WBA
Ryo Miyazaki,31-Dec-12, 27 December 2013,Pornsawan Porpramook,2,159,156,Orthodox,Japanese,MinFly,WBA
Hekkie Budler,1-Mar-14,19-Mar-16,Karluis Díaz,4,165,160,Orthodox,South African,MinFly,WBA
Byron Rojas,19-Mar-16,29-Jun-16,Hekkie Budler,0,,,Orthodox,Nicaraguan,MinFly,WBA
Knockout CP Freshmart,29-Jun-16, present,Byron Rojas,11,155,155,Orthodox,Thai,MinFly,WBA
Vic Saludar,20-Feb-21,21-Dec-21,Robert Paradero,0,166,160,Orthodox,Filipino,MinFly,WBA_Reg
Erick Rosa,21-Dec-21, present,Vic Saludar,0,165,160,Southpaw,Dominican,MinFly,WBA_Reg
Francesco Damiani,6-May-89,11-Jan-91,Johnny du Plooy,1,,190,Orthodox,Italian,Heavy,WBO
Ray Mercer,11-Jan-91, 28 December 1991,Francesco Damiani,1,196,185,Orthodox,American,Heavy,WBO
Michael Moorer,15-May-92, 8 February 1993,Bert Cooper,0,193,188,Southpaw,American,Heavy,WBO
Tommy Morrison,7-Jun-93,29-Oct-93,George Foreman,1,193,188,Orthodox,American,Heavy,WBO
Michael Bentt,29-Oct-93,19-Mar-94,Tommy Morrison,0,201,191,Orthodox,American,Heavy,WBO
